X,Y,Z
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.03,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.12
0,0.04,0.11
0,0.05,0.11
0,0.05,0.11
0,0.05,0.11
0,0.05,0.11
0,0.04,0.11
0,0.04,0.11
0,0.04,0.11
0.01,0.04,0.11
0.01,0.04,0.11
0.01,0.04,0.11
0.01,0.04,0.11
0.01,0.04,0.11
0.01,0.04,0.11
0.01,0.04,0.11
0.01,0.04,0.09999999
0.01,0.04,0.09999999
0.01,0.04,0.09999999
0.01,0.04,0.09999999
0.01,0.04,0.09999999
0.01,0.04,0.09999999
0.01,0.04,0.09999999
0.01,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.05,0.09999999
0.02,0.05,0.09999999
0.02,0.05,0.09
0.02,0.05,0.09
0.02,0.05,0.09
0.02,0.05,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09999999
0.02,0.04,0.09999999
0.02,0.04,0.09
0.02,0.03,0.09999999
0.02,0.03,0.09999999
0.02,0.03,0.09999999
0.03,0.03,0.09999999
0.03,0.04,0.09999999
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.02,0.04,0.09
0.03,0.04,0.09
0.03,0.04,0.09999999
0.03,0.04,0.09999999
0.03,0.03,0.09999999
0.03,0.03,0.09999999
0.03,0.03,0.09999999
0.03,0.04,0.09999999
0.03,0.04,0.09
0.03,0.04,0.09
0.03,0.04,0.09
0.03,0.04,0.09
0.03,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.03,0.09
0.04,0.03,0.09
0.04,0.03,0.09
0.04,0.02,0.09
0.04,0.03,0.09
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.04,0.09
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.02,0.09999999
0.04,0.02,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.11
0.04,0.03,0.11
0.04,0.03,0.11
0.04,0.03,0.11
0.04,0.03,0.11
0.04,0.03,0.11
0.04,0.03,0.11
0.04,0.03,0.11
0.04,0.03,0.11
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.02,0.09999999
0.04,0.03,0.09999999
0.04,0.02,0.09999999
0.04,0.03,0.09999999
0.04,0.02,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.04,0.03,0.09999999
0.05,0.03,0.09999999
0.05,0.03,0.09999999
0.05,0.03,0.09999999
0.05,0.03,0.09999999
0.05,0.03,0.09999999
0.05,0.02,0.09999999
0.05,0.03,0.09999999
0.05,0.02,0.09999999
0.05,0.02,0.09999999
0.05,0.02,0.09
0.05,0.03,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09999999
0.05,0.02,0.09
0.05,0.02,0.09999999
0.05,0.02,0.09999999
0.05,0.03,0.09999999
0.05,0.02,0.09999999
0.05,0.02,0.09999999
0.05,0.02,0.09999999
0.05,0.02,0.09999999
0.05,0.02,0.09999999
0.05,0.02,0.09999999
0.05,0.02,0.09
0.05,0.02,0.09999999
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
0.05,0.02,0.09
