X,Y,Z
0.8,0.08,-3.59
0.8,0.08,-3.59
0.8,0.08,-3.59
0.8,0.08,-3.59
0.81,0.08,-3.59
0.81,0.08,-3.59
0.81,0.08,-3.59
0.8,0.08,-3.59
0.8,0.08,-3.59
0.8,0.08,-3.59
0.81,0.08,-3.59
0.8,0.08,-3.59
0.8,0.08,-3.59
0.81,0.08,-3.59
0.8,0.08,-3.59
0.8,0.08,-3.59
0.81,0.08,-3.59
0.81,0.08,-3.59
0.81,0.08,-3.59
0.81,0.08,-3.59
0.8,0.08,-3.59
0.81,0.08,-3.59
0.8,0.08,-3.59
0.81,0.08,-3.59
0.8,0.08,-3.6
0.8,0.08,-3.6
0.81,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.59
0.81,0.08,-3.59
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.59
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.59
0.81,0.08,-3.59
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.59
0.81,0.08,-3.59
0.81,0.08,-3.6
0.81,0.08,-3.59
0.81,0.08,-3.6
0.81,0.08,-3.59
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.08,-3.6
0.8,0.07,-3.6
0.8,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.81,0.07,-3.6
0.82,0.07,-3.6
0.82,0.07,-3.6
0.82,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.81,0.08,-3.6
0.82,0.07,-3.6
0.81,0.07,-3.6
0.82,0.07,-3.6
0.82,0.07,-3.6
0.82,0.07,-3.6
0.82,0.08,-3.6
0.82,0.08,-3.6
0.82,0.08,-3.6
0.82,0.08,-3.6
0.82,0.08,-3.6
0.82,0.07,-3.59
0.82,0.07,-3.59
0.83,0.07,-3.59
0.83,0.07,-3.58
0.82,0.07,-3.58
0.82,0.07,-3.57
0.82,0.08,-3.57
0.82,0.07,-3.57
0.82,0.08,-3.56
0.82,0.08,-3.56
0.82,0.08,-3.56
0.82,0.08,-3.56
0.82,0.08,-3.56
0.82,0.08,-3.56
0.82,0.08,-3.56
0.83,0.08,-3.56
0.83,0.08,-3.56
0.82,0.08,-3.56
0.83,0.08,-3.56
0.83,0.08,-3.56
0.83,0.08,-3.56
0.83,0.08,-3.56
0.83,0.08,-3.56
0.83,0.08,-3.56
0.83,0.08,-3.56
0.83,0.08,-3.56
0.83,0.08,-3.55
0.83,0.08,-3.55
0.83,0.08,-3.55
0.83,0.08,-3.55
0.82,0.09,-3.55
0.82,0.09,-3.54
0.82,0.09,-3.54
0.82,0.09,-3.54
0.81,0.09,-3.54
0.81,0.09,-3.54
0.81,0.09,-3.54
0.8,0.09,-3.54
0.81,0.09,-3.54
0.8,0.09,-3.54
0.81,0.09,-3.54
0.81,0.09,-3.54
0.81,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.08,-3.54
0.8,0.08,-3.54
0.81,0.08,-3.54
0.81,0.08,-3.54
0.81,0.08,-3.54
0.81,0.08,-3.54
0.81,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.83,0.08,-3.55
0.83,0.08,-3.56
0.83,0.08,-3.56
0.83,0.07,-3.56
0.83,0.07,-3.56
0.84,0.07,-3.56
0.84,0.07,-3.57
0.84,0.07,-3.57
0.84,0.07,-3.57
0.84,0.07,-3.57
0.84,0.07,-3.57
0.84,0.07,-3.58
0.84,0.07,-3.58
0.84,0.07,-3.58
0.84,0.07,-3.58
0.84,0.07,-3.58
0.84,0.07,-3.58
0.84,0.08,-3.58
0.84,0.08,-3.58
0.84,0.08,-3.59
0.84,0.08,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.07,-3.59
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.84,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.6
0.85,0.06,-3.59
0.85,0.06,-3.59
0.85,0.06,-3.59
0.85,0.06,-3.59
0.85,0.06,-3.59
0.85,0.06,-3.59
0.85,0.06,-3.59
0.85,0.06,-3.58
0.85,0.07,-3.58
0.85,0.07,-3.58
0.85,0.07,-3.57
0.84,0.07,-3.57
0.84,0.07,-3.57
0.84,0.07,-3.56
0.84,0.07,-3.56
0.84,0.07,-3.56
0.84,0.07,-3.56
0.84,0.07,-3.56
0.83,0.07,-3.56
0.83,0.08,-3.55
0.83,0.08,-3.55
0.83,0.08,-3.55
0.83,0.08,-3.55
0.83,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.82,0.08,-3.55
0.81,0.08,-3.55
0.81,0.08,-3.54
0.81,0.08,-3.54
0.81,0.09,-3.54
0.81,0.09,-3.54
0.81,0.09,-3.54
0.81,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09999999,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09,-3.54
0.8,0.09999999,-3.54
0.8,0.09999999,-3.54
0.8,0.09999999,-3.54
0.8,0.09999999,-3.54
0.8,0.09999999,-3.54
0.8,0.09999999,-3.54
0.8,0.11,-3.54
0.8,0.11,-3.54
0.8,0.11,-3.54
0.8,0.11,-3.54
0.8,0.11,-3.54
0.8,0.11,-3.53
0.8,0.11,-3.53
0.8,0.11,-3.53
0.8,0.11,-3.53
0.8,0.11,-3.53
0.8,0.11,-3.52
0.8,0.11,-3.52
0.8,0.11,-3.52
0.8,0.11,-3.51
0.8,0.09999999,-3.51
0.8,0.09999999,-3.51
0.8,0.09999999,-3.5
0.8,0.09,-3.5
0.8,0.09,-3.49
0.8,0.09,-3.49
0.79,0.08,-3.48
0.79,0.08,-3.47
0.79,0.08,-3.46
0.79,0.09,-3.45
0.79,0.09,-3.44
0.77,0.09,-3.43
