X,Y,Z
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.49,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.46
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.5,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.47
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.51,0.05,6.48
0.5,0.05,6.48
0.5,0.05,6.48
0.5,0.05,6.48
0.5,0.05,6.48
0.5,0.05,6.49
0.5,0.05,6.49
0.5,0.05,6.49
0.5,0.05,6.49
0.5,0.05,6.49
0.5,0.05,6.49
0.5,0.05,6.5
0.5,0.06,6.5
0.5,0.06,6.49
0.49,0.06,6.49
0.49,0.06,6.49
0.49,0.06,6.49
0.49,0.06,6.49
0.49,0.06,6.49
0.49,0.06,6.49
0.49,0.06,6.49
0.49,0.06,6.49
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.49,0.05,6.5
0.48,0.05,6.51
0.48,0.05,6.51
0.48,0.05,6.51
0.48,0.05,6.51
0.48,0.05,6.51
0.48,0.05,6.51
0.48,0.05,6.51
0.48,0.05,6.51
0.48,0.05,6.52
0.48,0.05,6.52
0.48,0.05,6.52
0.49,0.05,6.52
0.49,0.05,6.52
0.49,0.05,6.53
0.49,0.05,6.53
0.49,0.05,6.53
0.49,0.06,6.53
0.49,0.06,6.54
0.49,0.06,6.54
0.49,0.06,6.54
0.5,0.06,6.55
0.5,0.06,6.55
0.5,0.06,6.56
0.5,0.06,6.56
0.51,0.06,6.56
0.51,0.06,6.57
0.51,0.06,6.57
0.52,0.06,6.58
0.52,0.06,6.58
0.52,0.06,6.59
0.53,0.06,6.6
0.53,0.06,6.6
0.54,0.05,6.61
0.54,0.05,6.61
0.54,0.05,6.62
0.55,0.05,6.63
0.56,0.05,6.63
0.56,0.05,6.64
0.57,0.05,6.64
0.57,0.05,6.65
0.58,0.05,6.66
0.59,0.05,6.67
0.6,0.05,6.68
0.6,0.05,6.69
0.61,0.05,6.69
0.62,0.05,6.71
0.63,0.05,6.72
0.64,0.06,6.73
0.64,0.06,6.73
0.65,0.06,6.74
0.66,0.06,6.75
0.67,0.06,6.76
0.68,0.06,6.77
0.68,0.06,6.78
0.69,0.07,6.78
0.7,0.07,6.8
0.7,0.07,6.81
0.71,0.07,6.81
0.72,0.07,6.82
0.72,0.07,6.83
0.73,0.08,6.84
0.73,0.08,6.85
0.74,0.08,6.86
0.74,0.08,6.87
0.75,0.08,6.87
